"id","course_id","name","abbreviation","duration","price"
1,1,"【初指名限定】ホテル2.5時間","150分",150,18000
2,1,"【初指名限定】ホテル3時間","180分",180,23000
3,1,"ホテル2時間","120分",120,24000
4,1,"ホテル3時間","180分",180,36000
5,1,"ホテル4時間","240分",240,48000
6,1,"ホテル5時間","300分",300,58000
7,1,"ホテル6時間","360分",360,72000
8,1,"ホテル7時間","420分",420,84000
9,1,"ホテル8時間","480分",480,96000
10,1,"ホテル9時間","540分",540,108000
11,1,"【りんどうVIP会員】デイロング10時間","600分",600,80000
12,1,"追加/当日延長60分","+60分",60,12000
13,1,"追加/当日延長30分","+30分",30,6000
14,2,"デート2時間","デート120分",120,16000
15,2,"デート3時間","デート180分",180,24000
16,2,"デート4時間","デート240分",240,32000
17,2,"デート5時間","デート300分",300,40000
18,2,"デート6時間","デート360分",360,48000
19,2,"デート7時間","デート420分",420,56000
20,2,"デート8時間","デート480分",480,64000
21,2,"デート9時間","デート540分",540,72000
22,2,"デート9時間","デート540分",540,72000
23,2,"映画パック","デート180分",180,10000
24,2,"【りんどうVIP会員】デート10時間","デート600分",600,70000
25,2,"【りんどうVIP会員】観劇パック","デート120分",120,15000
26,2,"追加/当日延長60分","+60分",60,8000
27,2,"追加/当日延長30分","+30分",30,4000
28,3,"デート4+プレゼント1時間","240分+60分",300,32000
29,3,"デート2+ホテル2+プレゼント1時間","120分+120分+60分",300,40000
30,3,"デート1+ホテル3+プレゼント1時間","60分+180分+60分",300,44000
31,3,"ホテル4+プレゼント1時間","240分+60分",300,48000
32,3,"デート追加/当日延長60分","+60分",60,8000
33,3,"デート追加/当日延長30分","+30分",30,4000
34,3,"ホテル追加/当日延長60分","+60分",60,12000
35,3,"ホテル追加/当日延長30分","+30分",30,6000
36,4,"通常ステイパック10時間","10時間",600,60000
37,4,"【りんどうVIP会員】ステイパック12時間","12時間",720,60000
38,4,"朝帰りステイパック約8時間","約8時間",480,40000
39,5,"【りんどうVIP会員】ロング18時間","18時間",1080,100000
40,5,"ロング24時間","24時間",1440,180000
41,5,"【りんどうVIP会員】ロング24時間","24時間",1440,160000
42,5,"ロング36時間","36時間",2160,240000
43,5,"【りんどうVIP会員】ロング36時間","36時間",2160,200000
44,5,"ロング48時間","48時間",2880,300000
45,5,"【りんどうVIP会員】ロング48時間","48時間",2880,260000
46,6,"通話コース","60分",60,6000
47,2,"デート1時間(ルーキー)","デート60分",60,2000
