"id","course_id","name","abbreviation","duration","price"
1,1,"90分（お試し）（15,000円）","90分",90,15000
2,1,"120分（おすすめ）（19,000円）","120分",120,19000
3,1,"150分（24,000円）","150分",150,24000
4,1,"180分（29,000円）","180分",180,29000
5,1,"240分（39,000円）","240分",240,39000
6,1,"300分（49,000円）","300分",300,49000
7,1,"+60分","+60分",60,10000
8,1,"延長30分","延長30分",30,6000
9,2,"60分（初回指名のみ）","デート60分",60,7000
10,2,"90分（初回指名のみ）","デート90分",90,10000
11,2,"120分（初回指名のみ）","デート120分",120,13000
12,2,"150分","デート150分",150,16000
13,2,"180分","デート180分",180,19000
14,2,"240分","デート240分",240,26000
15,2,"+60分","+60分",60,7000
16,2,"延長30分","延長30分",30,4000
17,3,"60分","デート60分",60,5000
18,3,"90分","デート90分",90,8000
19,3,"120分","デート120分",120,11000
20,4,"デイパック7時間（48,000円）","7時間",420,48000
21,4,"デイパック8時間（53,000円）","8時間",480,53000
22,4,"お泊り10時間（49,000円）","10時間",600,49000
23,4,"お泊り12時間（60,000円）","12時間",720,60000
24,4,"延長30分","延長30分",30,6000
25,5,"24時間","24時間",1440,120000
26,5,"36時間","36時間",2160,180000
27,5,"48時間","48時間",2880,230000
28,5,"60時間","60時間",3600,290000
29,5,"72時間","72時間",4320,340000
30,5,"+12時間","+12時間",720,55000
31,5,"延長30分","延長30分",30,6000
32,6,"通話コース","通話",0,0
33,6,"ダブルセラピ","ダブルセラピ",0,0
34,6,"ダブルレディース","ダブルレディース",0,0
35,6,"カップル","カップル",0,0
36,6,"合コン","合コン",0,0
37,6,"応援ポイント","応援",0,0
